cell_id,dataset,celltype,leiden,leiden_named,n_proteins_identified,intensity_max,intensity_min_detected,intensity_median,dynamic_range_log10
[634] DCT_1cell_WISHDIA_P2_0259.htrms.PG.Quantity,dct758,DCT1,28,ProLIF,931,23983.37109375,39.60551834106445,154.1261444091797,2.7821545257905766
[173] DCT_1cell_WISHDIA_P1_0177.htrms.PG.Quantity,dct758,DCT2,10,ProLIF,727,74553.40625,49.66054916381836,209.3299102783203,3.1764559727768
[156] DCT_1cell_WISHDIA_P1_0160.htrms.PG.Quantity,dct758,ProLIF,12,DCT1,504,21411.90234375,43.650489807128906,244.33855438232422,2.690666132631595
[244] DCT_1cell_WISHDIA_P1_0248.htrms.PG.Quantity,dct758,ProLIF,17,DCT1,635,20671.927734375,47.25284194946289,230.07437133789062,2.640953044492211
[524] DCT_1cell_WISHDIA_P2_0149.htrms.PG.Quantity,dct758,DCT1,27,DCT1,727,20765.91015625,43.4746208190918,217.30157470703125,2.679115167883835
[338] DCT_1cell_WISHDIA_P1_0342.htrms.PG.Quantity,dct758,ProLIF,23,DCT2,919,26318.576171875,40.20566177368164,180.89923095703125,2.8159751754851676
[485] DCT_1cell_WISHDIA_P2_0110.htrms.PG.Quantity,dct758,ProLIF,30,DCT1,758,35339.66015625,48.655452728271484,187.02490997314453,2.861130850872995
[91] DCT_1cell_WISHDIA_P1_0095.htrms.PG.Quantity,dct758,ProLIF,17,DCT1,619,32983.171875,54.12908935546875,232.42047119140625,2.7848616971124778
[586] DCT_1cell_WISHDIA_P2_0211.htrms.PG.Quantity,dct758,ProLIF,23,DCT2,1187,29435.34375,25.827524185180664,118.13272094726562,3.056786335033187
[436] DCT_1cell_WISHDIA_P2_0061.htrms.PG.Quantity,dct758,DCT2,22,ProLIF,595,28349.638671875,51.64614486694336,195.27877807617188,2.739509618898875
[621] DCT_1cell_WISHDIA_P2_0246.htrms.PG.Quantity,dct758,ProLIF,26,DCT1,887,22239.263671875,35.395225524902344,171.71792602539062,2.79817572009632
[201] DCT_1cell_WISHDIA_P1_0205.htrms.PG.Quantity,dct758,DCT2,6,DCT1,475,21241.564453125,58.986289978027344,290.4617004394531,2.5564354181262385
[539] DCT_1cell_WISHDIA_P2_0164.htrms.PG.Quantity,dct758,ProLIF,3,DCT1,289,44519.93359375,73.27798461914062,278.8677673339844,2.783580991540984
[464] DCT_1cell_WISHDIA_P2_0089.htrms.PG.Quantity,dct758,DCT2,23,DCT2,1246,95096.65625,25.495073318481445,120.88674926757812,3.571708981474613
[647] DCT_1cell_WISHDIA_P2_0272.htrms.PG.Quantity,dct758,DCT2,22,ProLIF,681,31843.658203125,49.42582321166992,221.30397033691406,2.8090690422952185
[670] DCT_1cell_WISHDIA_P2_0295.htrms.PG.Quantity,dct758,DCT1,23,DCT2,1124,20141.3828125,31.46459197998047,139.5448455810547,2.8062671794892755
[552] DCT_1cell_WISHDIA_P2_0177.htrms.PG.Quantity,dct758,DCT2,14,DCT1,587,41431.72265625,56.42247009277344,221.32540893554688,2.8658808958450788
